Date,Centre_Name,Commodity_Name,Price
27-01-09,AMRITSAR,Tomato,NA
27-01-09,LUDHIANA,Tomato,NA
27-01-09,LUCKNOW,Tomato,NA
27-01-09,DEHRADUN,Tomato,NA
27-01-09,RAIPUR,Tomato,NA
27-01-09,AHMEDABAD,Tomato,NA
27-01-09,BHOPAL,Tomato,NA
27-01-09,MUMBAI,Tomato,NA
27-01-09,JAIPUR,Tomato,NA
27-01-09,PATNA,Tomato,NA
27-01-09,RANCHI,Tomato,NA
27-01-09,BHUBANESHWAR,Tomato,NA
27-01-09,KOLKATA,Tomato,NA
27-01-09,GUWAHATI,Tomato,NA
27-01-09,SHILLONG,Tomato,NA
27-01-09,AIZWAL,Tomato,NA
27-01-09,KOHIMA,Tomato,NA
27-01-09,AGARTALA,Tomato,NA
27-01-09,BENGALURU,Tomato,NA
27-01-09,T.PURAM,Tomato,NA
27-01-09,CHENNAI,Tomato,NA
27-01-09,HYDERABAD,Tomato,NA
28-01-09,CHANDIGARH,Tomato,NA
28-01-09,DELHI,Tomato,NA
28-01-09,SHIMLA,Tomato,NA
28-01-09,SRINAGAR,Tomato,NA
28-01-09,JAMMU,Tomato,NA
28-01-09,AMRITSAR,Tomato,NA
28-01-09,LUDHIANA,Tomato,NA
28-01-09,LUCKNOW,Tomato,NA
28-01-09,DEHRADUN,Tomato,NA
28-01-09,RAIPUR,Tomato,NA
28-01-09,AHMEDABAD,Tomato,NA
28-01-09,BHOPAL,Tomato,NA
28-01-09,MUMBAI,Tomato,NA
28-01-09,JAIPUR,Tomato,500
28-01-09,PATNA,Tomato,NA
28-01-09,RANCHI,Tomato,NA
28-01-09,BHUBANESHWAR,Tomato,NA
28-01-09,KOLKATA,Tomato,NA
28-01-09,GUWAHATI,Tomato,NA
28-01-09,SHILLONG,Tomato,NA
28-01-09,AIZWAL,Tomato,NA
28-01-09,KOHIMA,Tomato,NA
28-01-09,AGARTALA,Tomato,NA
28-01-09,BENGALURU,Tomato,NA
28-01-09,T.PURAM,Tomato,NA
28-01-09,CHENNAI,Tomato,NA
28-01-09,HYDERABAD,Tomato,NA
29-01-09,CHANDIGARH,Tomato,NA
29-01-09,DELHI,Tomato,NA
29-01-09,SHIMLA,Tomato,NA
29-01-09,SRINAGAR,Tomato,NA
29-01-09,JAMMU,Tomato,NA
29-01-09,AMRITSAR,Tomato,NA
29-01-09,LUDHIANA,Tomato,NA
29-01-09,LUCKNOW,Tomato,NA
29-01-09,DEHRADUN,Tomato,NA
29-01-09,RAIPUR,Tomato,NA
29-01-09,AHMEDABAD,Tomato,NA
29-01-09,BHOPAL,Tomato,NA
29-01-09,MUMBAI,Tomato,NA
29-01-09,JAIPUR,Tomato,NA
29-01-09,PATNA,Tomato,NA
29-01-09,RANCHI,Tomato,NA
29-01-09,BHUBANESHWAR,Tomato,NA
29-01-09,KOLKATA,Tomato,NA
29-01-09,GUWAHATI,Tomato,NA
29-01-09,SHILLONG,Tomato,NA
29-01-09,AIZWAL,Tomato,NA
29-01-09,KOHIMA,Tomato,NA
29-01-09,AGARTALA,Tomato,NA
29-01-09,BENGALURU,Tomato,NA
29-01-09,T.PURAM,Tomato,NA
29-01-09,CHENNAI,Tomato,NA
29-01-09,HYDERABAD,Tomato,NA
30-01-09,CHANDIGARH,Tomato,NA
30-01-09,DELHI,Tomato,NA
30-01-09,SHIMLA,Tomato,NA
30-01-09,SRINAGAR,Tomato,NA
30-01-09,JAMMU,Tomato,NA
30-01-09,AMRITSAR,Tomato,NA
30-01-09,LUDHIANA,Tomato,NA
30-01-09,LUCKNOW,Tomato,NA
30-01-09,DEHRADUN,Tomato,NA
30-01-09,RAIPUR,Tomato,NA
30-01-09,AHMEDABAD,Tomato,NA
30-01-09,BHOPAL,Tomato,NA
30-01-09,MUMBAI,Tomato,NA
30-01-09,JAIPUR,Tomato,NA
30-01-09,PATNA,Tomato,NA
30-01-09,RANCHI,Tomato,NA
30-01-09,BHUBANESHWAR,Tomato,NA
30-01-09,KOLKATA,Tomato,NA
30-01-09,GUWAHATI,Tomato,NA
30-01-09,SHILLONG,Tomato,NA
30-01-09,AIZWAL,Tomato,NA
30-01-09,KOHIMA,Tomato,NA
30-01-09,AGARTALA,Tomato,NA
30-01-09,BENGALURU,Tomato,NA
30-01-09,T.PURAM,Tomato,NA
30-01-09,CHENNAI,Tomato,NA
30-01-09,HYDERABAD,Tomato,NA
02-02-09,CHANDIGARH,Tomato,NA
02-02-09,DELHI,Tomato,NA
02-02-09,SHIMLA,Tomato,NA
02-02-09,SRINAGAR,Tomato,NA
02-02-09,JAMMU,Tomato,NA
02-02-09,AMRITSAR,Tomato,NA
02-02-09,LUDHIANA,Tomato,NA
02-02-09,LUCKNOW,Tomato,NA
02-02-09,DEHRADUN,Tomato,NA
02-02-09,RAIPUR,Tomato,NA
02-02-09,AHMEDABAD,Tomato,NA
02-02-09,BHOPAL,Tomato,NA
02-02-09,MUMBAI,Tomato,NA
02-02-09,JAIPUR,Tomato,500
02-02-09,PATNA,Tomato,NA
02-02-09,RANCHI,Tomato,NA
02-02-09,BHUBANESHWAR,Tomato,NA
02-02-09,KOLKATA,Tomato,NA
02-02-09,GUWAHATI,Tomato,NA
02-02-09,SHILLONG,Tomato,NA
02-02-09,AIZWAL,Tomato,NA
02-02-09,KOHIMA,Tomato,NA
02-02-09,AGARTALA,Tomato,NA
02-02-09,BENGALURU,Tomato,NA
02-02-09,T.PURAM,Tomato,NA
02-02-09,CHENNAI,Tomato,NA
02-02-09,HYDERABAD,Tomato,NA
03-02-09,CHANDIGARH,Tomato,NA
03-02-09,DELHI,Tomato,NA
03-02-09,SHIMLA,Tomato,NA
03-02-09,SRINAGAR,Tomato,NA
03-02-09,JAMMU,Tomato,NA
03-02-09,AMRITSAR,Tomato,NA
03-02-09,LUDHIANA,Tomato,NA
03-02-09,LUCKNOW,Tomato,NA
03-02-09,DEHRADUN,Tomato,NA
03-02-09,RAIPUR,Tomato,NA
03-02-09,AHMEDABAD,Tomato,NA
03-02-09,BHOPAL,Tomato,NA
03-02-09,MUMBAI,Tomato,NA
03-02-09,JAIPUR,Tomato,500
03-02-09,PATNA,Tomato,NA
03-02-09,RANCHI,Tomato,NA
03-02-09,BHUBANESHWAR,Tomato,NA
03-02-09,KOLKATA,Tomato,NA
03-02-09,GUWAHATI,Tomato,NA
03-02-09,SHILLONG,Tomato,NA
03-02-09,AIZWAL,Tomato,NA
03-02-09,KOHIMA,Tomato,NA
03-02-09,AGARTALA,Tomato,NA
03-02-09,BENGALURU,Tomato,NA
